Year,Name,Position,College,Conference,Conference Rank,Round,Pick,AV,Games,Seasons,Height,Weight,40 Yard,Bench,Broad Jump,Shuttle,3 Cone,Vertical,Pass Att,Pass Completions,Pass Yds,Pass TD,Pass Int,Passer Rating,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Solo Tackles,Ast Tackles,Total Tackles,Tackles for Loss,Sacks,Int,Int Return Yards,Int TD,Pass Deflection,Fumble Recovery,Fumble Return Yards,Fumble TD,Forced Fumbles,PRs,PR Yds,PR TD,KRs,KR Yds,KR TD,XPA,XP%,FGA,FG%,Punts,Punt Avg
2012,Jerel Worthy,DT,Michigan State,Big Ten,2,2,51,0.6666666667,40,3,74,308,5,37,107,4.56,7.6,28.5,0,0,0,0,0,0,0,0,0,0,0,0,52,55,107,27.5,12,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Marquise Blair,S,Utah,Pac-12,5,2,47,0.6666666667,22,2,73,195,4.48,10,125,4.16,7.01,35,0,0,0,0,0,0,0,0,0,0,0,0,79,27,106,5,0,2,5,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,Josiah Bronson,DL,Washington,Pac-12,5,0,0,0.6666666667,32,3,74,304,5.08,27,101,4.72,7.63,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Emeke Egbule,LB,Small,American,6,6,200,0.6666666667,43,4,74,245,4.65,20,119,4.38,7.38,33,0,0,0,0,0,0,0,0,0,0,0,0,98,64,162,13,5,1,0,0,5,7,0,2,2,0,0,0,1,3,0,0,0,0,0,0,0
2019,Joe Giles-Harris,LB,Small,ACC,4,0,0,0.6666666667,34,3,74,234,4.75,17,111,4.55,7.28,29.5,0,0,0,0,0,0,0,0,0,0,0,0,143,170,313,32.5,8.5,2,13,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019,Lil'Jordan Humphrey,WR,Texas,Big 12,3,0,0,0.6666666667,28,3,76,210,4.75,13,119,4.29,7.09,33.5,0,0,0,0,0,0,12,66,2,125,1622,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,276,0,0,0,0,0,0,0
2019,Alec Ingold,FB,Wisconsin,Big Ten,2,0,0,0.6666666667,36,4,73,242,4.89,16,116,4.32,7.35,34,0,0,0,0,0,0,103,343,17,14,185,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,63,0,0,0,0,0,0,0
2013,Dion Jordan,OLB,Oregon,Pac-12,5,1,3,0.6,33,3,78,248,4.54,15,122,4.35,7.02,32.5,0,0,0,0,0,0,0,0,0,0,0,0,73,48,121,29,14.5,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2012,James Hanna,TE,Oklahoma,Big 12,3,6,186,0.6,54,4,76,252,4.43,24,122,4.11,6.76,36,0,0,0,0,0,0,0,0,0,52,720,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0
2016,Johnny Holton,WR,Cincinnati,American,6,0,0,0.6,20,2,73,190,4.54,8,123,4.67,7.2,31.5,0,0,0,0,0,0,0,0,0,46,892,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,942,0,0,0,0,0,0,0
2014,Anthony Johnson,DT,LSU,SEC,1,0,0,0.6,27,2,74,308,5.24,20,102,4.83,7.93,24.5,0,0,0,0,0,0,0,0,0,0,0,0,32,45,77,22,7,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Conor McDermott,OT,UCLA,Pac-12,5,6,211,0.6,39,3,80,307,5.18,19,105,4.58,7.52,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Damontre Moore,DE,Texas A&M,SEC,1,3,81,0.6,25,2,76,250,4.95,12,122,4.56,7.56,35.5,0,0,0,0,0,0,0,0,0,0,0,0,116,81,197,45,26.5,1,8,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2016,Jared Norris,ILB,Utah,Pac-12,5,0,0,0.6,34,3,73,241,4.8,19,114,4.52,7.35,29.5,0,0,0,0,0,0,0,0,0,0,0,0,149,120,269,24,7,0,0,0,8,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2010,Eric Olsen,C,Notre Dame,Ind,13,6,183,0.6,36,3,76,306,5.25,35,93,4.82,7.5,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Brian Robiskie,WR,Ohio State,Big Ten,2,2,36,0.6,51,4,75,209,4.46,11,128,4.19,6.72,37.5,0,0,0,0,0,0,0,0,0,127,1866,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,12,77,0,0,0,0,0,0,0
2015,Ibraheim Campbell,SS,Small,Big Ten,2,4,115,0.5833333333,46,4,71,208,4.52,23,124,4.48,7.1,39.5,0,0,0,0,0,0,0,0,0,0,0,0,193,124,317,7.5,1,10,184,0,12,3,0,0,3,1,7,0,2,10,0,0,0,0,0,0,0
2011,Jalil Brown,CB,Colorado,Big 12,3,4,118,0.5714285714,36,3,73,204,4.52,24,116,4.25,6.85,35.5,0,0,0,0,0,0,0,0,0,0,0,0,108,25,133,4.5,0,6,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Winston Guy,SS,Kentucky,SEC,1,6,181,0.5714285714,51,4,73,218,4.62,19,124,4.29,7.08,36.5,0,0,0,0,0,0,0,0,0,0,0,0,147,150,297,20,2.5,5,-2,0,3,1,0,0,1,0,0,0,19,475,0,0,0,0,0,0,0
2017,David Sharpe,OT,Florida,SEC,1,4,129,0.5714285714,49,4,78,343,5.44,19,97,4.78,7.87,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Dominique Alexander,ILB,Oklahoma,Big 12,3,0,0,0.5,38,3,72,232,4.64,17,104,4.32,7.11,28.5,0,0,0,0,0,0,0,0,0,0,0,0,153,139,292,18,4.5,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2011,Anthony Allen,RB,Georgia Tech,ACC,4,7,225,0.5,52,4,73,228,4.56,24,120,4.06,6.79,41.5,0,0,0,0,0,0,304,1934,13,8,200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0,0,0,0
